Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,n_genes,organism,pathway_db,input_genes,p_adj_global
Reactome_2022,Peptide Hormone Metabolism R-HSA-2980736,1/89,0.3605214364245345,0.3782895835297182,0,0,2.2741046831955924,2.32005037808893,GZMH,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5540197585967114
KEGG_2021_Human,NOD-like receptor signaling pathway,2/181,0.2290890210690458,0.3809270931729483,0,0,2.248432333827385,3.313390195707374,HSP90AA1;CCL5,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5550637535119701
KEGG_2021_Human,Glycosaminoglycan biosynthesis,1/53,0.233569272224541,0.3839127118173491,0,0,3.8554778554778553,5.606931137649977,CHST12,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5577275332277113
Reactome_2022,RAC3 GTPase Cycle R-HSA-9013423,1/93,0.3732726494349856,0.3910475375033183,0,0,2.1747913921826965,2.143139832163484,IL32,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.563205044024939
KEGG_2021_Human,Neutrophil extracellular trap formation,2/189,0.2438580650566493,0.3962693557170551,0,0,2.1513696387645966,3.035945977250269,ACTB;ACTG1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5684544122352111
KEGG_2021_Human,Legionellosis,1/57,0.2488245414130006,0.3997967350793155,0,0,3.5793650793650795,4.978922896997587,HSPA8,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5720656999601177
Reactome_2022,Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912,1/97,0.3857720948428521,0.4028632636017126,0,0,2.083754208754209,1.9847936202473104,HSP90AA1,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5733499067411308
Reactome_2022,Potential Therapeutics For SARS R-HSA-9679191,1/97,0.3857720948428521,0.4028632636017126,0,0,2.083754208754209,1.9847936202473104,HSP90AA1,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5733499067411308
Reactome_2022,Visual Phototransduction R-HSA-2187338,1/98,0.3888581963975129,0.4054445649642315,0,0,2.062168072477351,1.947801335478516,CALM1,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5736592172468541
Reactome_2022,L1CAM Interactions R-HSA-373760,1/99,0.3919289465238684,0.4080017424380965,0,0,2.0410224695938983,1.9117741389719491,HSPA8,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5738655227978193
KEGG_2021_Human,PI3K-Akt signaling pathway,3/354,0.260632549507307,0.4141161619949433,0,0,1.722530619437836,2.3161899797868197,HSP90AA1;YWHAQ;IL2RG,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5747898180719017
Reactome_2022,Organelle Biogenesis And Maintenance R-HSA-1852241,2/275,0.4007232590905978,0.4164997653540072,0,0,1.467219854974957,1.3417494000659629,HSP90AA1;CALM1,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5747898180719017
Reactome_2022,Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393,1/104,0.4070550586365517,0.4224156268869876,0,0,1.9414533686378344,1.7449915352070269,CALM1,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5773450398507086
KEGG_2021_Human,Pathways in cancer,4/531,0.2747651653080029,0.4270806373809175,0,0,1.531704617330803,1.9787149806959017,HSP90AA1;CXCR4;CALM1;IL2RG,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5792883574612169
KEGG_2021_Human,Amyotrophic lateral sclerosis,3/364,0.2741504141328689,0.4270806373809175,0,0,1.6739583630807893,2.166233304128739,PFN1;ACTB;ACTG1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5792883574612169
KEGG_2021_Human,Inflammatory bowel disease,1/65,0.2784389392137884,0.4281372936298036,0,0,3.1306818181818183,4.00275356439037,IL2RG,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5801655397273312
Reactome_2022,Phase II - Conjugation Of Compounds R-HSA-156580,1/107,0.4159512905205901,0.4309699399428406,0,0,1.886220697541452,1.654568493195685,TPST2,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5821935176251513
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,1/70,0.2963578762035246,0.4324405744602451,0,0,2.9030888596105986,3.530700422312052,CCL5,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5821935176251513
KEGG_2021_Human,Renin secretion,1/69,0.2928096888806698,0.4324405744602451,0,0,2.9459298871063577,3.6182865561027495,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5821935176251513
KEGG_2021_Human,Amphetamine addiction,1/69,0.2928096888806698,0.4324405744602451,0,0,2.9459298871063577,3.6182865561027495,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5821935176251513
KEGG_2021_Human,Renal cell carcinoma,1/69,0.2928096888806698,0.4324405744602451,0,0,2.9459298871063577,3.6182865561027495,RAP1B,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5821935176251513
KEGG_2021_Human,cAMP signaling pathway,2/216,0.2938603477361359,0.4324405744602451,0,0,1.8773602899103567,2.2991104658975754,RAP1B;CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5821935176251513
Reactome_2022,Gene Silencing By RNA R-HSA-211000,1/108,0.4188872357630098,0.4333316232031136,0,0,1.8684980647597471,1.6258801725332537,HSP90AA1,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5821935176251513
Reactome_2022,Reproduction R-HSA-1474165,1/113,0.4333492188372186,0.447590742460977,0,0,1.7846320346320346,1.492329591518098,SUN2,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5841875721400537
KEGG_2021_Human,PPAR signaling pathway,1/74,0.3103752378928968,0.4483197880675176,0,0,2.74346201743462,3.209777224050686,UBC,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5841875721400537
KEGG_2021_Human,Glioma,1/75,0.3138361616484454,0.448785711157277,0,0,2.7062517062517064,3.1362323637249645,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5841875721400537
Reactome_2022,Signaling By NTRK1 (TRKA) R-HSA-187037,1/114,0.4361985658337181,0.4498297710160218,0,0,1.768749441315813,1.4674566165007243,ID2,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5850715880983296
KEGG_2021_Human,Thermogenesis,2/232,0.3233415604981886,0.4578004272400095,0,0,1.7453416149068324,1.9705710590679104,ACTB;ACTG1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5904940448948073
Reactome_2022,Glycosaminoglycan Metabolism R-HSA-1630316,1/120,0.4529991952356669,0.4657001072516202,0,0,1.6790595025889143,1.3295883355209954,CHST12,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5964150275363934
Reactome_2022,Cell-Cell Communication R-HSA-1500931,1/120,0.4529991952356669,0.4657001072516202,0,0,1.6790595025889143,1.3295883355209954,FYN,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5964150275363934
KEGG_2021_Human,B cell receptor signaling pathway,1/81,0.3342435328543524,0.4685963254722783,0,0,2.5025252525252526,2.742480915944007,IFITM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5993220005064629
KEGG_2021_Human,Calcium signaling pathway,2/240,0.3379769099553644,0.469230078870069,0,0,1.6859886811867604,1.8289229230858013,CXCR4;CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.5993220005064629
Reactome_2022,Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,1/123,0.4612126761903752,0.4734064794489077,0,0,1.6375227686703095,1.2672723299658175,GZMH,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.600658141124774
Reactome_2022,Cardiac Conduction R-HSA-5576891,1/126,0.4693040423241341,0.4809637700837399,0,0,1.597979797979798,1.2088788165174762,CALM1,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,Aldosterone synthesis and secretion,1/98,0.3888581963975129,0.4901720295943075,0,0,2.062168072477351,1.947801335478516,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,Melanogenesis,1/101,0.3980246944821334,0.4901720295943075,0,0,2.0,1.8424824583699575,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,Progesterone-mediated oocyte maturation,1/100,0.394984420817951,0.4901720295943075,0,0,2.020304050607081,1.8766785261005492,HSP90AA1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,Inflammatory mediator regulation of TRP channels,1/98,0.3888581963975129,0.4901720295943075,0,0,2.062168072477351,1.947801335478516,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,IL-17 signaling pathway,1/94,0.3764209201158763,0.4901720295943075,0,0,2.1512979254914737,2.101919815261755,HSP90AA1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,TGF-beta signaling pathway,1/94,0.3764209201158763,0.4901720295943075,0,0,2.1512979254914737,2.101919815261755,ID2,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,Rheumatoid arthritis,1/93,0.3732726494349856,0.4901720295943075,0,0,2.1747913921826965,2.143139832163484,CCL5,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,GnRH signaling pathway,1/93,0.3732726494349856,0.4901720295943075,0,0,2.1747913921826965,2.143139832163484,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,Salivary secretion,1/93,0.3732726494349856,0.4901720295943075,0,0,2.1747913921826965,2.143139832163484,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,Prostate cancer,1/97,0.3857720948428521,0.4901720295943075,0,0,2.083754208754209,1.9847936202473104,HSP90AA1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,Phosphatidylinositol signaling system,1/97,0.3857720948428521,0.4901720295943075,0,0,2.083754208754209,1.9847936202473104,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,Circadian entrainment,1/97,0.3857720948428521,0.4901720295943075,0,0,2.083754208754209,1.9847936202473104,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,Longevity regulating pathway,1/102,0.4010498423953424,0.4901720295943075,0,0,1.98009800980098,1.8091552855878603,HSPA8,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,Pancreatic secretion,1/102,0.4010498423953424,0.4901720295943075,0,0,1.98009800980098,1.8091552855878603,RAP1B,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,C-type lectin receptor signaling pathway,1/104,0.4070550586365517,0.4932955371612449,0,0,1.9414533686378344,1.7449915352070269,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,Glucagon signaling pathway,1/107,0.4159512905205901,0.4956752878703699,0,0,1.886220697541452,1.654568493195685,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",1/106,0.4130006611337857,0.4956752878703699,0,0,1.9042809042809044,1.6839671916127796,SLC9A3R1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
Reactome_2022,ER To Golgi Anterograde Transport R-HSA-199977,1/133,0.487719053875974,0.499061357454485,0,0,1.512702785430058,1.0861444222602046,CTSC,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6032436568642046
KEGG_2021_Human,Toxoplasmosis,1/112,0.4304856163806702,0.5038125064530266,0,0,1.8008008008008007,1.517789408820894,HSPA8,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6033272691290397
KEGG_2021_Human,Cholinergic synapse,1/113,0.4333492188372186,0.5038125064530266,0,0,1.7846320346320346,1.492329591518098,FYN,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6033272691290397
KEGG_2021_Human,TNF signaling pathway,1/112,0.4304856163806702,0.5038125064530266,0,0,1.8008008008008007,1.517789408820894,CCL5,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6033272691290397
KEGG_2021_Human,Sphingolipid signaling pathway,1/119,0.450233917137087,0.5192213721822859,0,0,1.6933744221879816,1.3512924945163796,FYN,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.615459713214578
KEGG_2021_Human,Cell cycle,1/124,0.4639232772068564,0.5307282291246437,0,0,1.6241274533957462,1.2473885010387038,YWHAQ,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.621837987957861
KEGG_2021_Human,Vascular smooth muscle contraction,1/133,0.487719053875974,0.549163974049325,0,0,1.512702785430058,1.0861444222602046,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6340812921099516
KEGG_2021_Human,Dopaminergic synapse,1/132,0.4851275940329752,0.549163974049325,0,0,1.5243272418844938,1.1026119616962,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6340812921099516
KEGG_2021_Human,Insulin signaling pathway,1/137,0.4979563925252978,0.5519981715590511,0,0,1.467914438502674,1.0234927306951356,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6367974251474069
KEGG_2021_Human,Apelin signaling pathway,1/137,0.4979563925252978,0.5519981715590511,0,0,1.467914438502674,1.0234927306951356,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6367974251474069
Reactome_2022,Generic Transcription Pathway R-HSA-212436,6/1190,0.5513614373122736,0.5633104467896294,0,0,1.0089850488786658,0.6007140998959776,UBB;YWHAQ;UBC;PSME1;CALM1;RPS27A,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6438529609457713
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,1/143,0.5129338125908852,0.5642271938499738,0,0,1.4054630815194196,0.9382990468495096,ID2,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6443103530832841
KEGG_2021_Human,Phospholipase D signaling pathway,1/148,0.5250764322021929,0.5731750366787296,0,0,1.357314643028929,0.874397623216168,FYN,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6505203634242037
Reactome_2022,Transport To Golgi And Subsequent Modification R-HSA-948021,1/164,0.5619542370450903,0.5732454350073564,0,0,1.223089793641941,0.7049092863917995,CTSC,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6505203634242037
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,1/150,0.5298491312613169,0.5740032255330934,0,0,1.3389600705036946,0.8504578563729338,CALM1,0,100,human,KEGG_2021_Human,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.651193931112651
Reactome_2022,SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,1/168,0.5707216454532212,0.5812905648134661,0,0,1.1935522893606727,0.6694081869063938,DDX5,0,100,human,Reactome_2022,"CCL5,NKG7,B2M,CST7,GZMA,CTSW,IL32,HLA-C,GZMK,HLA-A,CD3D,CD8A,PTPRCAP,LYAR,GZMM,HCST,HLA-B,MALAT1,KLRG1,CD99",0.6560822913422696
