Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,n_genes,organism,pathway_db,input_genes,p_adj_global
Reactome_2022,Activation Of BH3-only Proteins R-HSA-114452,1/30,0.1397095639188418,0.2714357241851784,0,0,6.921281783350749,13.622394510819325,BID,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.492334238972659
Reactome_2022,Diseases Associated With TLR Signaling Cascade R-HSA-5602358,1/31,0.1440174715013112,0.2750895523058754,0,0,6.69023569023569,12.964476920040203,S100A9,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.4969157516595882
Reactome_2022,"Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity R-HSA-399721",1/31,0.1440174715013112,0.2750895523058754,0,0,6.69023569023569,12.964476920040203,AP2S1,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.4969157516595882
Reactome_2022,Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695,1/31,0.1440174715013112,0.2750895523058754,0,0,6.69023569023569,12.964476920040203,LYN,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.4969157516595882
Reactome_2022,Gluconeogenesis R-HSA-70263,1/32,0.1483040219339779,0.2770514695469917,0,0,6.474095796676441,12.355752978101908,TPI1,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.4976448498273454
Reactome_2022,PERK Regulates Gene Expression R-HSA-381042,1/32,0.1483040219339779,0.2770514695469917,0,0,6.474095796676441,12.355752978101908,CEBPB,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.4976448498273454
Reactome_2022,Termination Of Translesion DNA Synthesis R-HSA-5656169,1/32,0.1483040219339779,0.2770514695469917,0,0,6.474095796676441,12.355752978101908,ISG15,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.4976448498273454
Reactome_2022,Cargo Concentration In ER R-HSA-5694530,1/32,0.1483040219339779,0.2770514695469917,0,0,6.474095796676441,12.355752978101908,SERPINA1,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.4976448498273454
KEGG_2021_Human,Phototransduction,1/28,0.1310292553948657,0.2772503085166724,0,0,7.434717545828657,15.109834134055738,CALM2,5,100,human,KEGG_2021_Human,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.4976448498273454
Reactome_2022,Amino Acid Transport Across Plasma Membrane R-HSA-352230,1/33,0.152569319997184,0.280397669184014,0,0,6.271464646464646,11.79120788980768,SLC7A7,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5017043133188699
Reactome_2022,Activation Of Matrix Metalloproteinases R-HSA-1592389,1/33,0.152569319997184,0.280397669184014,0,0,6.271464646464646,11.79120788980768,TIMP1,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5017043133188699
